time, Quad.Est.E.Pos, Quad.Est.S.Z
4.144882,0.156797,0.311027
4.149882,0.157011,0.311148
4.154881,0.157330,0.311330
4.159881,0.157542,0.311452
4.164881,0.157862,0.311635
4.169880,0.158072,0.311758
4.174880,0.158391,0.311944
4.179880,0.158601,0.312068
4.184879,0.158921,0.312255
4.189879,0.159154,0.312380
4.194879,0.159480,0.312569
4.199878,0.159690,0.312695
4.204878,0.128852,0.310004
4.209877,0.129053,0.310121
4.214877,0.129354,0.310296
4.219877,0.129549,0.310414
4.224876,0.129849,0.310591
4.229876,0.130040,0.310709
4.234876,0.130343,0.310888
4.239875,0.130543,0.311007
4.244875,0.130846,0.311188
4.249875,0.131048,0.311308
4.254874,0.131352,0.311490
4.259874,0.131559,0.311612
4.264874,0.131865,0.311795
4.269873,0.132069,0.311918
4.274873,0.132375,0.312104
4.279872,0.132581,0.312228
4.284872,0.132889,0.312414
4.289872,0.133075,0.312540
4.294871,0.133381,0.312728
4.299871,0.133598,0.312854
4.304871,0.129043,0.310162
4.309870,0.129114,0.310278
4.314870,0.129219,0.310454
4.319870,0.129284,0.310571
4.324869,0.129391,0.310748
4.329869,0.129465,0.310866
4.334868,0.129574,0.311045
4.339868,0.129647,0.311164
4.344868,0.129759,0.311344
4.349867,0.129836,0.311465
4.354867,0.129953,0.311647
4.359867,0.130035,0.311769
4.364866,0.130159,0.311952
4.369866,0.130239,0.312075
4.374866,0.130368,0.312260
4.379865,0.130448,0.312384
4.384865,0.130581,0.312570
4.389864,0.130671,0.312696
4.394864,0.130807,0.312884
4.399864,0.130909,0.313010
4.404863,0.105378,0.310316
4.409863,0.105365,0.310433
4.414863,0.105317,0.310608
4.419862,0.105278,0.310725
4.424862,0.105239,0.310902
4.429862,0.105222,0.311020
4.434861,0.105192,0.311199
4.439861,0.105174,0.311318
4.444860,0.105152,0.311498
4.449860,0.105140,0.311619
4.454860,0.105131,0.311800
4.459859,0.105122,0.311922
4.464859,0.105120,0.312105
4.469859,0.105122,0.312228
4.474858,0.105128,0.312413
4.479858,0.105142,0.312537
4.484858,0.105160,0.312723
4.489857,0.105194,0.312848
4.494857,0.105225,0.313037
4.499856,0.105265,0.313163
4.504856,0.085853,0.310467
4.509856,0.085489,0.310583
4.514855,0.084945,0.310758
4.519855,0.084587,0.310876
4.524855,0.084051,0.311052
4.529854,0.083695,0.311171
4.534854,0.083166,0.311349
4.539854,0.082815,0.311468
4.544853,0.082293,0.311648
4.549853,0.081949,0.311768
4.554852,0.081434,0.311950
4.559852,0.081093,0.312072
4.564852,0.080584,0.312255
4.569851,0.080249,0.312377
4.574851,0.079747,0.312562
4.579851,0.079413,0.312686
4.584850,0.078915,0.312872
4.589850,0.078586,0.312997
4.594850,0.078093,0.313186
4.599849,0.077765,0.313312
4.604849,0.077005,0.310615
4.609848,0.076859,0.310731
